,School,Director of admissions,Application fee,Admissions phone,Admissions email,Application URL,Website,Virtual Tour URL,TOEFL and/or IELTS required for international students,Minimum TOEFL score required,Minimum IELTS score required,Acceptance rate (postbaccalaureate certificate),ApplicationsPostbaccalaureate,Percent of new entrants providing GPA scoresPostbaccalaureate,Average undergraduate GPAPostbaccalaureate,Percent of new entrants providing verbal GRE scoresPostbaccalaureate,Percent of new entrants providing quantitative GRE scoresPostbaccalaureate,Percent of new entrants providing writing GRE scoresPostbaccalaureate,Average GRE scorePostbaccalaureate,Average GRE analytical writing scorePostbaccalaureate,GRE policyPostbaccalaureate,Acceptance rate (master's),Applications(Master's),Percent of new entrants providing GPA scores(Master's),Average undergraduate GPA(Master's),Percent of new entrants providing verbal GRE scores(Master's),Percent of new entrants providing quantitative GRE scores(Master's),Percent of new entrants providing writing GRE scores(Master's),Average GRE score(Master's),Average GRE analytical writing score(Master's),GRE policy(Master's),Acceptance rate (education specialist),Enrollment,Applications(Education Specialist),Percent of new entrants providing GPA scores(Education Specialist),Average undergraduate GPA(Education Specialist),Percent of new entrants providing verbal GRE scores(Education Specialist),Percent of new entrants providing quantitative GRE scores(Education Specialist),Percent of new entrants providing writing GRE scores(Education Specialist),Average GRE score(Education Specialist),Average GRE analytical writing score(Education Specialist),GRE policy(Education Specialist),Degree programs offered,Categories of study offered to education specialist students,Any programs in education offered off campus,Offers online program in education,Certificate program graduates,Master's program graduates,Education specialist program graduates,Doctoral program graduates,Full-time faculty (tenured or tenure-track),Full-time faculty (nontenured or tenure track),Part-time faculty,Full-time faculty with doctoral degrees,Full-time tenured or tenure-track faculty who received awards or were editors of educational journals during 2020 and 2021,Total enrollment,Total enrollment (full-time),Minority students,International students,Student diversity (full-time),Financial aid director,Financial aid phone,"Tuition (postbaccalaureate, full-time)","Tuition (postbaccalaureate, part-time)","Tuition (master's, full-time)","Tuition (master's, part-time)","Tuition (education specialist, full-time)","Tuition (education specialist, part-time)","Tuition (doctoral, full-time)","Tuition (doctoral, part-time)",Room and board,Type of education school,Memberships,School accredited by the National Council for Accreditation of Teacher Education (NCATE),School accredited by the Teacher Education Accreditation Council (TEAC),School accredited by the Council for Accreditation of Education Preparation (CAEP),Initial teacher preparation levels offered,Total students in certificate-level teacher training programs,Total students in master's teacher training programs,Total students in education specialist degree teacher training programs,Total graduate students in teacher training programs,Number of certificate programs completed,Number of teacher training master's degrees awarded,Number of teacher training education specialist degrees awarded,Number of full-time tenured or tenure-track faculty involved in teacher training programs,Are professional development/partnership schools used in teaching programs?,Are students in internships or doing practice teaching assigned to peer working groups?,Are students in internship/practice teaching programs mentored?,Students who took an assessment to become a certified or licensed teacher during 2020-2021,Number of these students who passed the assessment,Number of 2021 graduates licensed to teach,Number of 2021 graduates who accepted teaching positions for fall 2021,Number of 2019 graduates licensed to teach,Number of 2019 graduates who accepted teaching positions for fall 2018,Number of these 2019 graduates who were still employed as teachers in fall 2021,Application deadlines,Advanced teacher preparation levels offered,"Of students reporting specialty information, percent specializing in",Programs/courses offered in,Categories of study offered to master's students,Gender distribution (full-time)
20,University of California--Berkeley, Liliana Hernandez, $120, (510) 642-0841, gse_info@berkeley.edu, Website, Website, N/A, Yes,, 7, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 36%, 472, 97%, 3.4, 5%, 5%, 5%,, 4.6, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Master's, Ph.D., Ed.D.",, No, Yes, N/A, 57, N/A, 13, 27, 6, 64, 100%, 40.7%, 274, 274, N/A, N/A, N/A, Liliana Hernandez, (510) 642-0841, N/A, N/A,, N/A, N/A, N/A,, N/A," $15,840", Graduate school of education, N/A, N/A, N/A, N/A, Master's program(s), N/A, 64, N/A, 64, N/A, 57, N/A, 12," Yes, used in all teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", 21, 20, 47, 45, 27, 26, 21,,,,,,
21,Michigan State University, John Ambrose, $65, (517) 355-8332, admis@msu.edu, Website, Website, N/A, Yes,, 6.5, 72.7%, 11, 100%, 3.3, 25%, 25%, 25%,, 2.8, N/A, 53.5%, 389, 41%, 3.5, 1%, 1%, 1%,, 4, N/A, N/A,, 1, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, education specialist, Ph.D., Ed.D.",, Yes, Yes, 278, 312, 4, 102, 119, 30, 59, 100%, 26.9%," 1,080", 711, N/A, N/A, N/A, Keith Williams, (517) 353-5940,,,,,, N/A,,," $12,054", School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education)", N/A, Yes, Yes," Four-year undergraduate program(s) (bachelor's), Post-baccalaureate, non-degree, Five-year combined undergraduate/graduate program(s), Master's program(s)", 247, 423, 6, 676, 278, 166, N/A, 44," Yes, used in all teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", 278, 278, 278, 203, 261, 198, N/A, N/A,,,,,
22,University of Florida, Dr. Tina Smith-Bonahue, $30, (352) 273-4376, tmsmith@coe.ufl.edu, Website, Website, N/A, Yes,, 6, 82.4%, 136, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 60.2%, 399, 85%, 3.6, N/A, N/A, N/A, N/A, N/A, N/A, 27.5%,, 302, 94%, 3.7, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, education specialist, Ph.D., Ed.D.",, Yes, Yes, 73, 258, 45, 57, 63, 50, 66, 100%, 4.8%," 1,337", 560, N/A, N/A, N/A, Donald Kolb, (352) 392-1275,,,,,,,,," $12,050", School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education), Holmes Partnership", N/A, N/A, Yes," Four-year undergraduate program(s) (bachelor's), Post-baccalaureate, non-degree, Five-year combined undergraduate/graduate program(s), Master's program(s)", 9, 175, 0, 184, 19, 91, 0, 33," Yes, used in some teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", 110, 110, 110, N/A, 125, 91, N/A, N/A,,,,,
23,University of North Carolina--Chapel Hill, Dr. Shauna Harris, $95, (919) 966-1346, soestudentaffairs@unc.edu, Website, Website, N/A, Yes,, 7, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 65%, 374, 88%, 3.52, 7%, 7%, 7%,, 4.3, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, Ph.D., Ed.D.", N/A, No, No, N/A, 99, N/A, 22, 41, 18, 3, 100%, 22%, 331, 279, N/A, N/A, N/A, Dr. Shauna Harris, (919) 966-6275, N/A, N/A,,, N/A, N/A,,, N/A, School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education)", N/A, N/A, Yes," Four-year undergraduate program(s) (bachelor's), Licensure only at baccalaureate level, Post-baccalaureate, non-degree, Master's program(s)", N/A, 93, N/A, 93, N/A, 47, N/A, 11," Yes, used in some teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", 42, 41, 42, N/A, N/A, N/A, N/A,,,,,,
24,Virginia Commonwealth University, Sandra Mazzoli, $70, (804) 828-3382, sjmazzoli@vcu.edu, Website, Website, N/A, Yes,, 6.5, 80%, 20, 86%, 3.57, 40%, 40%, 40%,, 4.2, N/A, 87.3%, 213, 86%, 3.4, 30%, 30%, 30%,, 3.6, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, Ph.D., Ed.D.", N/A, Yes, Yes, 63, 220, N/A, 55, 38, 15, 108, 100%, 2.6%, 701, 263, N/A, N/A, N/A, Norm Bedford (Associate Vice President), (804) 827-1329,,,,, N/A, N/A,,," $11,504", School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education), Holmes Partnership", N/A, N/A, Yes," Four-year undergraduate program(s) (bachelor's), Five-year combined undergraduate/graduate program(s), Master's program(s)", 31, 195, N/A, 226, 32, 142, 0, 133," Yes, used in some teaching programs"," Yes, in some teaching programs"," Yes, all students are mentored", 198, 181, 165, N/A, 157, N/A, N/A, N/A,,,,,
25,Florida State University, Hege Ferguson, $30, (850) 644-6200, admissions@fsu.edu, Website, Website, N/A, Yes,, 6.5, 100%, 12, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 70.7%, 758, 100%, 3.58, 8%, 8%, 8%,, 3.9, N/A, 36.8%,, 310, 100%, 3.65, 14%, 14%, 14%,, 4, N/A," Bachelor's, post-baccalaureate certificate, master's, education specialist, Ph.D., Ed.D.",, Yes, Yes, 9, 332, 48, 63, 78, 41, 0, 100%, 16.7%," 1,548", 750, N/A, N/A, N/A, Darryl Marshall, (850) 644-0539, N/A,,,,,,,," $8,188", School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education)", N/A, N/A, N/A," Post-baccalaureate, non-degree, Five-year combined undergraduate/graduate program(s), Master's program(s)", 5, 218, 105, 328, 2, 125, 23, 13," Yes, used in all teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", 140, 137, 164, N/A, 135, 77, 73,,,,,,
26,Ohio State University, Richard Chappell, $60, (614) 292-9444, gpadmissions@osu.edu, Website, Website, N/A, Yes,, 7, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 48.6%, 663, 92%, 3.5, 12%, 12%, 12%,, 4.1, N/A, 39.4%,, 66, 89%, 3.5, 22%, 22%, 22%,, 3.5, N/A," Bachelor's, post-baccalaureate certificate, master's, education specialist, Ph.D., Ed.D.",, No, Yes, N/A, 215, 9, 82, 129, 11, 1, 100%, 10.1%," 1,030", 576, N/A, N/A, N/A, Amy Wheeler, (614) 292-0300,,,,,,,,," $12,168", School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education)", N/A, N/A, Yes," Four-year undergraduate program(s) (bachelor's), Licensure only at baccalaureate level, Post-baccalaureate, non-degree, Master's program(s)", 91, 60, 0, 151, N/A, 51, 0, 64," Yes, used in all teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", 901, 852, 439, N/A, 408, N/A, N/A,,,,,,
27,North Carolina State University--Raleigh, Anona Smith Williams, $75, (919) 515-2872, graduate_admissions@ncsu.edu, Website, Website, Website, Yes,, 6.5, 87.5%, 519, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 46.1%, 943, 100%, 3.5, 8%, 8%, 8%,, 4, N/A, N/A,, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, Ph.D., Ed.D.", N/A, Yes, Yes, 132, 316, 0, 59, 73, 35, 30, 100%, 5.5%," 1,645", 403, N/A, N/A, N/A, Krista Ringler, (919) 515-2866, N/A,,,, N/A, N/A,,," $8,916", School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), NAFEO (National Association for Equal Opportunity in Higher Education)", N/A, N/A, Yes," Four-year undergraduate program(s) (bachelor's), Post-baccalaureate, non-degree, Master's program(s)", 361, 233, N/A, 594, 106, 95, N/A, 51," Yes, used in some teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", 424, 359, 285, N/A, 230, N/A, N/A,,,,,,
28,University of Connecticut (Neag), Anne Lanzit, $75, (860) 486-3617, gradschool@uconn.edu, Website, Website, Website, Yes,, 6.5, 83.9%, 199, 96%, 3.5, 31%, 31%, 32%,, 4.2, N/A, 64.9%, 573, 100%, 3.5, 3%, 3%, 3%,, 4.3, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, Ph.D., Ed.D.", N/A, Yes, Yes, 149, 269, 0, 35, 62, 19, 42, 100%, 6.5%, 761, 483, N/A, N/A, N/A, Suzanne Peters, (860) 486-2819,,,,, N/A, N/A,,," $16,446", School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education)", Yes, N/A, N/A," Five-year combined undergraduate/graduate program(s), Master's program(s)", N/A, 191, N/A, 191, N/A, 182, N/A, 33," Yes, used in all teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", 255, 240, 183, 175, 188, 172, 165,,,,,,
29,University of Maryland--College Park, Janis Cornell-DeMoss, $75, (301) 405-2364, jcdemoss@umd.edu, Website, Website, Website, Yes,, 7, 100%, 49, 93%, 3.2, N/A, N/A, N/A, N/A, N/A, N/A, 68.6%, 404, 94%, 3.45, 100%, 100%, 100%,, 3.9, N/A, N/A,, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, education specialist, Ph.D., Ed.D.",, Yes, Yes, 55, 208, 2, 46, 77, 104, 44, 100%, 15.6%, 785, 491, N/A, N/A, N/A," Malina Heng, Associate Director", (301) 314-9859, N/A,,,, N/A, N/A,,," $14,586", School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education)", N/A, N/A, N/A," Four-year undergraduate program(s) (bachelor's), Post-baccalaureate, non-degree, Five-year combined undergraduate/graduate program(s), Master's program(s)", N/A, 109, N/A, 109, N/A, 103, N/A, 12," Yes, used in all teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", 237, 237, 237, 237, 226, N/A, N/A,,,,,,
30,Utah State University, Richard Cutler, $55, (435) 797-3981, graduateschool@usu.edu, Website, Website, Website, Yes,, 6, 90.8%, 76, 93%, 3.7, 1%, 1%, N/A,, N/A, N/A, 68.6%, 544, 99%, 3.6, 31%, 31%, 31%,, 4.2, N/A, 100%,, 2, 100%, 3.9, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, education specialist, Ph.D., Ed.D.",, Yes, Yes, 43, 238, 11, 36, 134, 78, 26, 100%, 5.2%," 1,092", 370, N/A, N/A, N/A, Craig Whyte, (435) 797-8264, N/A, N/A,, N/A, N/A, N/A,, N/A," $7,784", School of education with undergraduate and graduate divisions, CADREI (Council of Academic Deans from Research Education Institutions), N/A, N/A, N/A," Four-year undergraduate program(s) (bachelor's), Licensure only at baccalaureate level, Post-baccalaureate, non-degree, Five-year combined undergraduate/graduate program(s), Master's program(s)", N/A, N/A, N/A, N/A, N/A, N/A, N/A, 250," Yes, used in some teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored"," 1,224", 856, 405, 336, 497, 299, 230, N/A,, N/A,,,
31,Indiana University--Bloomington, Sarah Theule Lubienski, $70, (812) 856-8504, gsoadms@indiana.edu, Website, Website, Website, Yes,, 6.5, 84.8%, 46, 100%, 3.56, 6%, 6%, 5%,, 4.8, N/A, 49.5%, 392, 100%, 3.5, 22%, 22%, 23%,, 4, N/A, 49.2%,, 61, 100%, 3.34, 22%, 22%, 22%,, 3.8, N/A," Bachelor's, post-baccalaureate certificate, master's, education specialist, Ph.D., Ed.D.",, No, Yes, 59, 169, 7, 89, 88, 24, 42, 99%, 6.8%," 1,154", 339, N/A, N/A, N/A, Jenny Stephens, (812) 855-1053,,,,,,,,, N/A, School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education), Holmes Partnership", N/A, N/A, Yes," Four-year undergraduate program(s) (bachelor's), Licensure only at baccalaureate level, Post-baccalaureate, non-degree, Five-year combined undergraduate/graduate program(s), Master's program(s)", 45, 0, 0, 45, 54, 0, 0, 88," Yes, used in some teaching programs"," Yes, in some teaching programs"," Yes, all students are mentored", 505, 422, 263, 186, 289, 214, 171,,,,,,
32,Texas A&M University--College Station, Scott McDonald, $50, (979) 845-1071, admissions@tamu.edu, Website, Website, N/A, Yes,, 6, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 77.3%, 647, 100%, 3.4, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, Ph.D., Ed.D.", N/A, Yes, Yes, 30, 453, N/A, 90, 123, 118, 44, 100%, 4.1%," 1,548", 703, N/A, N/A, N/A, Delisa Falks, (979) 458-5311,,,,, N/A, N/A,,," $12,650", School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education), HACU (Hispanic Association of Colleges and Universities)", N/A, N/A, N/A," Four-year undergraduate program(s) (bachelor's), Post-baccalaureate, non-degree, Five-year combined undergraduate/graduate program(s), Master's program(s)", 55, N/A, N/A, 55, 30, N/A, N/A, 65," Yes, used in all teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", 639, 633, 553, N/A, 666, 498, N/A,,,,,,
33,University of California--Davis, MaryAnn Mellor, $120, (530) 752-5887, eduadvising@ucdavis.edu, Website, Website, N/A, Yes,, 7, 75.1%, 233, 100%, 3.45, N/A, N/A, N/A, N/A, N/A, N/A, 84.1%, 195, 100%, 3.43, N/A, N/A, N/A, N/A, N/A, N/A, N/A,, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Post-baccalaureate certificate, master's, Ph.D., Ed.D.",, No, No, 128, 99, 0, 21, 32, 7, 18, 100%, 9.4%, 363, 248, N/A, N/A, N/A, Deborah Agee, (530) 752-2396,, N/A,,, N/A, N/A,,," $15,654", Graduate school of education," CADREI (Council of Academic Deans from Research Education Institutions), HACU (Hispanic Association of Colleges and Universities)", N/A, N/A, N/A," Post-baccalaureate, non-degree, Master's program(s)", 113, 113, 0, 226, 128, 99, 0, 10," Yes, used in all teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", 99, 92, 128, 114, 147, 133, N/A, N/A,,,,,
34,University of Georgia, Cheri Bliss, $75, (706) 542-1739, gradadm@uga.edu, Website, Website, Website, Yes,, 6.5, 78.7%, 94, 57%, 3.4, 18%, 18%, 13%,, 4, N/A, 61.5%, 899, 100%, 3.5, 24%, 24%, 24%,, 4, N/A, 64.1%,, 39, 93%, 3.4, 14%, 14%, 14%,, 4, N/A," Bachelor's, post-baccalaureate certificate, master's, education specialist, Ph.D., Ed.D.",, Yes, Yes, 321, 379, 64, 119, 155, 63, 45, 100%, 18.1%," 1,940", 950, N/A, N/A, N/A, Nancy Ferguson, (706) 542-6147,,,,,,,,," $10,452", School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education)", N/A, N/A, N/A," Four-year undergraduate program(s) (bachelor's), Licensure only at baccalaureate level, Post-baccalaureate, non-degree, Five-year combined undergraduate/graduate program(s), Master's program(s)", 9, 443, 91, 543, 173, 205, 38, 64," Yes, used in all teaching programs"," Yes, in some teaching programs"," Yes, all students are mentored", 524, 517, 437, 264, 433, 293, 270,,,,,,
35,University of Illinois--Urbana-Champaign, Karla J. Moller, $90, (217) 244-3542, gradservices@education.illinois.edu, Website, Website, Website, Yes,, 7.5, 100%, 85, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 80.5%, 308, 100%, 3.54, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, Ph.D., Ed.D.", N/A, Yes, Yes, 121, 174, N/A, 78, 82, 29, 15, 100%, 7.3%," 1,443", 429, N/A, N/A, N/A, Karla J. Moller, (217) 244-3542, N/A,,,, N/A, N/A,,," $13,314", School of education with undergraduate and graduate divisions, CADREI (Council of Academic Deans from Research Education Institutions), No, No, No," Four-year undergraduate program(s) (bachelor's), Post-baccalaureate, non-degree, Master's program(s)", N/A, 39, N/A, 39, N/A, 15, N/A, 62," Yes, used in all teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", 189, 186, 194, 172, 200, 188, N/A,,,,,,
36,University of Missouri, Terrence Grus, $75, (573) 882-6311, gradadmin@missouri.edu, Website, Website, Website, Yes,, 6.5, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 67.1%, 657, 62%, 3.6, 8%, 8%, 7%,, 4, N/A, 82.1%, N/A, 67, 13%, 3.2, 19%, 19%, 15%,, 4, N/A," Bachelor's, post-baccalaureate certificate, master's, education specialist, Ph.D., Ed.D.",, Yes, Yes, N/A, 430, 91, 73, 72, 28, 122, 100%, 6.9%," 1,694", 469, N/A, N/A, N/A," Emily Haynam, Executive Director", (573) 882-7506, N/A, N/A,,,,,,," $12,934", School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education)", N/A, N/A, Yes," Four-year undergraduate program(s) (bachelor's), Post-baccalaureate, non-degree, Master's program(s)", N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Yes, used in all teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A,, N/A,,,
37,University of Pittsburgh, Wesley Vaina, $50, (412) 648-2230, soeinfo@pitt.edu, Website, Website, Website, Yes,, 7, 92.3%, 91, 99%, 3.4, 20%, 20%, 20%,, 4.2, N/A, 92.6%, 443, 99%, 3.4, 3%, 3%, 3%,, 4.3, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, Ph.D., Ed.D.",, No, Yes, 56, 216, N/A, 54, 47, 32, 31, 100%, 10.6%, 733, 368, N/A, N/A, N/A, Randall McCready, (412) 624-7180,,,,, N/A, N/A,,," $12,044", School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education)", N/A, N/A, N/A," Post-baccalaureate, non-degree, Five-year combined undergraduate/graduate program(s), Master's program(s)", 23, 86, N/A, 109, 14, 78, 0, 8," Yes, used in all teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", 125, 124, 82, 48, 95, 57, N/A, N/A,,,,,
38,University of Delaware, Mr. Michael Alexo, $75, (302) 831-2129, gradadmissions@udel.edu, Website, Website, N/A, Yes,, 7, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 86.3%, 211, 100%, 3.5, 2%, 2%, 2%,, 3.3, N/A, 100%,, 9, 100%, 3.66, 100%, 100%, 100%,, 4.4, N/A," Bachelor's, master's, education specialist, Ph.D., Ed.D.",, No, Yes, N/A, 102, 8, 24, 48, 17, 1, 100%, 64.6%, 348, 211, N/A, N/A, N/A, Nathan Franklin, (302) 831-2126, N/A, N/A,,,,,,," $13,472", School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education)", N/A, N/A, Yes," Four-year undergraduate program(s) (bachelor's), Five-year combined undergraduate/graduate program(s), Master's program(s)", 0, 143, 0, 143, 0, 83, 0, N/A, No," Yes, in all teaching programs"," Yes, all students are mentored", 221, 210, 249, N/A, 299, 160, N/A,,,,,,
39,University of Iowa, Pamela Wesely, $60, (319) 335-5359, edu-educationservices@uiowa.edu, Website, Website, N/A, Yes,, 7, 79.5%, 44, 94%, 3.69, 24%, 24%, 24%,, 3.9, N/A, 65.6%, 302, 99%, 3.38, 22%, 21%, 21%,, 4, N/A, 100%,, 3, 100%, 3.53, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, education specialist, Ph.D., Ed.D.",, Yes, Yes, 13, 129, 3, 51, 59, 23, 195, 100%, 22%, 739, 408, N/A, N/A, N/A, Cindy Seyfer, (319) 335-1450,,,,, N/A,,,," $11,780", School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education)", N/A, N/A, N/A," Four-year undergraduate program(s) (bachelor's), Post-baccalaureate, non-degree, Five-year combined undergraduate/graduate program(s), Master's program(s)", 9, 94, N/A, 103, 9, 38, N/A, 33, No," Yes, in some teaching programs"," Yes, all students are mentored", 225, 223, 220, N/A, 206, N/A, N/A, N/A,,,,,
40,Pennsylvania State University--University Park, Lori Anne Hawn, $65, (814) 865-1795, gswww@psu.edu, Website, Website, N/A, Yes,, 6.5, 93.5%, 185, 95%, 3.55, N/A, N/A, N/A, N/A, N/A, N/A, 69.7%, 574, 96%, 3.51, 4%, 4%, 4%,, 4, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, Ph.D., Ed.D.", N/A, Yes, Yes, 109, 431, N/A, 72, 128, 78, 49, 100%, 6.3%," 1,459", 494, N/A, N/A, N/A, Jessica Hoffman, (814) 865-2514,,,,, N/A, N/A,,," $14,808", School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education), Holmes Partnership", N/A, N/A, Yes," Four-year undergraduate program(s) (bachelor's), Licensure only at baccalaureate level, Post-baccalaureate, non-degree, Five-year combined undergraduate/graduate program(s), Master's program(s)", 2, 23, N/A, 25, 9, 38, N/A, 128," Yes, used in some teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", 367, 349, 422, N/A, 355, N/A, N/A,,,,,,
