,School,Director of admissions,Application deadline (master's),Application deadline (PhD),Application fee (U.S. residents),Application fee (international students),Admissions phone,Admissions email,Application URL,Website,Virtual Tour URL,Acceptance rate (master's),Acceptance rate (Ph.D.),Percent of new entrants providing GPA scores(Master's),Average undergraduate GPA(Master's),Percent of new entrants providing verbal GRE scores(Master's),Percent of new entrants providing quantitative GRE scores(Master's),Average GRE analytical writing score(Master's),Percent of new entrants providing GPA scores(Doctoral),Average undergraduate GPA(Doctoral),Percent of new entrants providing verbal GRE scores(Doctoral),Percent of new entrants providing quantitative GRE scores(Doctoral),Average GRE analytical writing score(Doctoral),TOEFL and/or IELTS required for international students,Minimum TOEFL score required,Minimum IELTS score required,Total graduate engineering enrollment,Enrollment (full-time master's),Enrollment (part-time master's),Enrollment (full-time Ph.D.),Enrollment (part-time Ph.D.),Total graduates,Total master's graduates,International master's graduates,Minority master's graduates,Female master's graduates,Total Ph.D. graduates,International Ph.D. graduates,Minority Ph.D. graduates,Female Ph.D. graduates,Full-time faculty (tenured or tenure-track),Full-time faculty (nontenured or nontenure track),Part-time faculty,Full-time faculty elected to the National Academy of Engineering,Total graduate engineering enrollment(Student Body),Enrollment (master's),Minority students (master's),International students (master's),Enrollment (Ph.D.),Minority students (Ph.D.),International students (Ph.D.),Financial aid director,Financial aid phone,"Tuition (master's, full-time)","Tuition (master's, part-time)","Tuition (doctoral, full-time)","Tuition (doctoral, part-time)",Room and board,Score,Peer assessment score (out of 5),Recruiter assessment score (out of 5),Overall acceptance rate,Average GRE quantitative score (master's and Ph.D. students),Ph.D. student/faculty ratio,Ph.D.s granted,Engineering school research expenditures (2021 fiscal year),Research expenditures per faculty member (2021 fiscal year),Faculty membership in National Academy of Engineering,Total graduate engineering enrollment(Ranking),Mean TOEFL score of entering students,Average GRE score(Master's),Average GRE score(Doctoral),Student diversity (master's),Student diversity (Ph.D.),Countries most represented by international students(Student Body),Applicants (master's),Applicants (Ph.D.),Gender distribution of enrolled (master's),Gender distribution of enrolled (Ph.D.)
147,University of Denver , Ashley Sherman, 08/15, 08/15, $65, $65, (303) 871-2427, ashley.sherman@du.edu, Website, Website, Website, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, Yes,, 6, 495, 247, 176, 67, 5, 115, 102, 27.5%, 18.6%, 36.3%, 13, 76.9%, 7.7%, 23.1%, 20, 18, 3, 0, 495, 247, 26.7%, 18.2%, 67, 9%, 67.2%, John Gudvangen, (303) 871-4020, N/A, N/A, N/A, N/A, N/A, 16, 1.9, 2.6, N/A, N/A, 3.4:1, 13, N/A, N/A, 0%, 495, N/A, N/A, N/A,,,, N/A, N/A,,
148,University of New Hampshire, Dr. Cari Moorhead, 07/01, 07/01, $65, $65, (603) 862-3000, grad.school@unh.edu, Website, Website, N/A, 69.7%, 79.5%, 90%, 3.57, 14%, 14%, 3.9, 21%, 3.49, 53%, 53%, 3.7, Yes,, 6.5, 260, 77, 55, 105, 23, 72, 53, 35.8%, 3.8%, 35.8%, 19, 68.4%, 5.3%, 21.1%, 70, 14, 17, 0, 260, 77, 6.5%, 28.6%, 105, 2.9%, 68.6%, Joel B. Carstens, (603) 862-3600,,,,," $12,366", 16, 2.2, 2.9, 73.1%, 150, 1.5:1, 19," $18,429,000"," $271,015", 0%, 260,,,,,,,,,,
149,University of Tulsa, Genny Parker, 02/01, 02/01, $60, $60, (918) 631-3744, grad@utulsa.edu, Website, Website, Website, 61.7%, 53.9%, 100%, 3.32, 46%, 46%, N/A, 100%, 3.44, 60%, 60%, N/A, Yes,, 6.5, 231, 64, 60, 101, 6, 78, 58, 34.5%, 10.3%, 15.5%, 20, 65%, 10%, 15%, 46, 11, 6, 0, 231, 64, 7.8%, 56.3%, 101, 6.9%, 60.4%, Vicki Hendrickson, (918) 631-2670," $1,349 per credit"," $1,349 per credit"," $1,349 per credit"," $1,349 per credit"," $12,422", 16, 1.8, 2.6, 59.5%, 159, 2.2:1, 20," $12,290,210"," $279,323", 0%, 231,,,,,,,,,,
150,University of Vermont, Kimbery Hess, N/A, N/A, $65, $65, (802) 656-2699, graduate.admissions@uvm.edu, Website, Website, Website, 79%, 37.1%, 80%, 3.6, 10%, 10%, 4.2, 33%, 3.6, 17%, 17%, 3.5, Yes,, 6.5, 214, 51, 70, 83, 10, 67, 52, 13.5%, 7.7%, 23.1%, 15, 40%, 6.7%, 6.7%, 36, 20, 14, 1, 214, 51, 7.8%, 7.8%, 83, 7.2%, 53%, Marie D. Johnson, (802) 656-5700,,,,, N/A, 16, 2.1, 2.5, 58.5%, 161, 2.3:1, 15," $9,952,222"," $261,901", 2.8%, 214,,,,,,,,,,
151,Alfred University--New York State College of Ceramics  (Inamori), Lindsey Burnham, 01/15, 01/15, $60, $60, (800) 541-9229, gradinquiry@alfred.edu, Website, Website, N/A, 60%, 60%, 50%, 3.54, N/A, N/A, N/A, N/A, N/A, 100%, 100%, 2.5, Yes,, 6.5, 37, 12, 9, 14, 2, 7, 5, N/A, 20%, 20%, 2, 50%, N/A, 50%, 22, 0, 2, 0, 37, 12, 8.3%, 8.3%, 14, N/A, 57.1%, Jane Gilliland, (607) 871-2159," $22,520 per year", $810 per credit," $22,520 per year", $810 per credit," $13,052", N/A, 1.9, 2.7, 60%, N/A, 0.6:1, 2," $2,088,022"," $80,309", 0%, 37,, N/A,,,,,,,,
152,Cleveland State University (Washkewicz), N/A, 07/01, 07/01, $40, $40, (216) 687-5599, allin1@csuohio.edu, Website, Website, N/A, 15.1%, 49.1%, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, Yes,, 6," 1,113", 821, 216, 59, 17, 152, 144, 47.9%, 7.6%, 32.6%, 8, 75%, 0%, 12.5%, 52, 19, 23, 0," 1,113", 821, 1.2%, 96%, 59, 5.1%, 71.2%, Rachel Schmidt, (216) 687-5594,,,,," $12,670", N/A, 1.8, 2.3, 15.5%, N/A, 1.1:1, 8," $2,629,341"," $50,564", 0%," 1,113",, N/A, N/A,,,,,,,
153,Florida Atlantic University, Robert Stackman, N/A, N/A, $30, $30, (561) 297-2270, graduatecollege@fau.edu, Website, Website, N/A, 89%, 95.9%, 100%, 3.41, 100%, 100%, 3.8, 79%, 3.53, 100%, 100%, 3, Yes,, 6, 491, 139, 192, 65, 95, 140, 125, 29.6%, 32%, 27.2%, 15, 46.7%, 20%, 13.3%, 61, 9, 14, 0, 491, 139, 45.3%, 15.8%, 65, 13.8%, 78.5%, Tracy Boulukous, (561) 297-3530,,,,," $12,536", N/A, 1.9, 2.5, 91%, 155, 1.1:1, 15," $15,500,398"," $250,006", 0%, 491,,,,,,,,,,
154,Florida Institute of Technology, Mike Perry, N/A, N/A, $50, $50, (800) 944-4348, grad-admission@fit.edu, Website, Website, N/A, 51.5%, 51.1%, N/A, N/A, 4%, 6%, N/A, N/A, N/A, 21%, 29%, N/A, Yes,, 6, 588, 194, 246, 134, 14, 275, 244, 36.9%, 5.7%, 27.5%, 31, 80.6%, 0%, 12.9%, 87, 0, 30, 0, 588, 194, 11.3%, 62.4%, 134, 9%, 74.6%, Jay Lally, (321) 674-8070," $1,241 per credit"," $1,241 per credit"," $1,241 per credit"," $1,241 per credit"," $13,396", N/A, 2.0, 2.9, 51.5%, 147, 1.5:1, 31," $9,026,339"," $94,024", 0%, 588, N/A,,,,,,,,,
155,Jackson State University, Dr. Fatoumatta Sisay, 03/01, 03/01, $25, $25, (601) 979-0342, graduate@jsums.edu, Website, Website, N/A, 73.3%, 56%, 3%, 3, N/A, N/A, N/A, 3.2%, 3.2, N/A, N/A, N/A, Yes,, 6.5, 64, 5, 14, 14, 31, 15, 9, 11.1%, N/A, 11.1%, 6, 0%, N/A, 33.3%, N/A, N/A, N/A, N/A, 64, 5, 20%, N/A, 14, 78.6%, 21.4%, Ozie B. Ratcliff, (866) 843-3578,,,,," $10,445", N/A, 1.6, 2.1, 62.5%, N/A, N/A, 6, N/A, N/A, 0%, 64,, N/A, N/A,,, N/A,,,,
156,Lamar University, Celeste Contreas, N/A, N/A, $25, $75, (409) 880-8888, admissions@lamar.edu, Website, Website, N/A, 89.8%, 96%, 5%, 3.03, N/A, N/A, N/A, 17%, 3.16, N/A, N/A, N/A, Yes,, 6.5, 294, 183, 37, 60, 14, 75, 58, 32.8%, 41.4%, 27.6%, 17, 11.8%, 70.6%, 11.8%, 34, 8, 8, N/A, 294, 183, 18%, 69.9%, 60, 10%, 86.7%, Bethany Bowman, (409) 880-8450,,,,," $9,590", N/A, 1.6, 2.1, 91.1%, N/A, 1.8:1, 17," $1,867,999"," $45,561", 0%, 294, N/A, N/A, N/A,,,,,,,
157,Lawrence Technological University, Jane Rohrback, N/A, N/A, $50, $50, (248) 204-3160, admissions@ltu.edu, Website, Website, N/A, 39%, 33.3%, 69%, 3.1, N/A, N/A, N/A, 100%, 3.42, N/A, N/A, N/A, Yes,, 6.5, 176, 16, 147, 0, 13, 148, 142, 59.9%, 3.5%, 25.4%, 6, 83.3%, 0%, 16.7%, 38, 23, 98, 0, 176, 16, 6.3%, 31.3%, 0, N/A, N/A, Susan Poli-Smith, (248) 204-2126," $17,836 per year"," $8,918 per year", N/A," $8,918 per year"," $12,905", N/A, 1.6, 2.7, 38.8%, N/A, 0:1, 6," $553,341"," $12,868", 0%, 176, N/A, N/A, N/A,, N/A,,,,, N/A
158,Louisiana Tech University, Dr. Ramu Ramchandran, 07/01, 07/01, $40, $40, (318) 257-2924, gradschool@latech.edu, Website, Website, N/A, 89.4%, 78.4%, 100%, 3.1, N/A, N/A, N/A, 100%, 3.14, N/A, N/A, N/A, Yes,, 6.5, 258, 77, 66, 93, 22, 108, 89, 29.2%, 9%, 21.3%, 19, 63.2%, 10.5%, 36.8%, 64, 51, 21, 0, 258, 77, 27.3%, 24.7%, 93, 11.8%, 67.7%, Aimee Baxter, (318) 257-2641,,,,," $9,210", N/A, 1.9, 2.8, 86.5%, N/A, 1.5:1, 19," $10,140,592"," $153,645", 0%, 258,, N/A, N/A,,,,,,,
159,Mayo Clinic College of Medicine and Science Graduate School of Biomedical Sciences, N/A, N/A, 12/01, $0, $0, N/A, N/A, N/A, Website, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, Yes, N/A, N/A, 41, 0, 0, 41, 0, 2, N/A, N/A, N/A, N/A, 2, N/A, N/A, 100%, 70, N/A, N/A, N/A, 41, 0, N/A, N/A, 41, N/A, N/A, N/A, N/A, $0, $0, $0 per year, $0, $0, N/A, 2.2, 3.1, N/A, N/A, 0.6:1, 2, N/A, N/A, 0%, 41, N/A, N/A, N/A, N/A,, N/A, N/A,, N/A,
160,Morgan State University (Mitchell), Dr. Jahmaine Smith, 05/01, 05/01, $50, $70, (443) 885-3185, gradapply@morgan.edu, Website, Website, N/A, 82.4%, 84.4%, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, Yes,, 6, 153, 23, 23, 98, 9, 48, 35, 20%, 80%, 22.9%, 13, 46.2%, 38.5%, 23.1%, 20, 9, 9, 0, 153, 23, 43.5%, 56.5%, 98, 30.6%, 67.3%, Tanya Wilkerson, (443) 885-3170,,,,," $10,994", N/A, 1.8, 2.8, 83.5%, N/A, 4.9:1, 13," $5,700,000"," $285,000", 0%, 153,, N/A, N/A,,,,,,,
161,North Dakota State University, Seinquis Leinen, N/A, N/A, $35, $35, (701) 231-8698, ndsu.grad.school@ndsu.edu, Website, Website, N/A, 64.7%, 65%, 100%, 3.45, 40%, 40%, 3, 100%, 3.2, 39%, 39%, 3, Yes,, 6, 385, 85, 110, 83, 107, 84, 61, 49.2%, 8.2%, 18%, 23, 65.2%, 13%, 17.4%, 80, 6, 22, 0, 385, 85, 1.2%, 56.5%, 83, 6%, 83.1%, Jeffrey Jacobs, (701) 231-6200,,,,," $10,000", N/A, 1.9, 2.4, 64.8%, 157, 1:1, 23," $6,181,772"," $73,593", 0%, 385,,,,,,,,,,
162,Oakland University, Claire Rammel, 07/15, 07/15, $45, $45, (248) 370-2700, gradinfo@oakland.edu, Website, Website, Website, 83.3%, 96.7%, 73%, 3.33, N/A, N/A, N/A, 40%, 3.1, N/A, N/A, N/A, Yes,, 6.5, 738, 181, 322, 120, 115, 281, 262, 42%, 11.8%, 32.4%, 19, 57.9%, 10.5%, 31.6%, 70, 13, 49, 0, 738, 181, 9.9%, 53.6%, 120, 2.5%, 85.8%, Nancy Fetzer, (248) 370-2550,,,,," $11,192", N/A, 1.6, 2.4, 85.8%, N/A, 1.7:1, 19," $1,581,740"," $23,261", 0%, 738,, N/A, N/A,,,,,,,
163,Ohio University (Russ), Katherine Tadlock, 08/01, 08/01, $58, $58, (740) 593-2800, graduate@ohio.edu, Website, Website, N/A, 68.8%, 57.9%, 100%, 3.39, 19%, 19%, 3.2, 100%, 3.51, 25%, 25%, 3.1, Yes,, 6, 471, 86, 289, 54, 42, 178, 156, 13.5%, 24.4%, 16.7%, 22, 77.3%, 4.5%, 31.8%, 63, 7, 3, 0, 471, 86, 8.1%, 40.7%, 54, 1.9%, 83.3%, Valerie K. Miller, (740) 593-4141,,,,," $7,740", N/A, 2.0, 2.7, 64.5%, 159, 0.9:1, 22," $12,473,000"," $164,118", 0%, 471, N/A,,,,,,,,,
164,Old Dominion University  (Batten), William Heffelfinger, N/A, N/A, $50, $50, (757) 683-3685, gradadmit@odu.edu, Website, Website, Website, 87.9%, 89.7%, 78%, 3.24, 25%, 25%, 3.3, 81%, 3.36, 30%, 30%, 2.9, Yes,, 6.5, 983, 136, 560, 99, 188, 255, 227, 11.5%, 26.9%, 22.9%, 28, 64.3%, 7.1%, 28.6%, 108, 19, 41, 0, 983, 136, 23.5%, 39%, 99, 14.1%, 70.7%, Vera Riddick, (757) 683-3689,,,,," $11,064", N/A, 2.0, 2.7, 88.2%, 156, 0.9:1, 28," $10,619,488"," $98,329", 0%, 983,,,,,,,,,,
165,Portland State University (Maseeh), Kelly Doherty, N/A, N/A, $67, $67, (503) 725-5391, gradschool@pdx.edu, Website, Website, Website, 74.7%, 60.2%, 61%, 3.83, 6%, 6%, 3, 30%, 3.98, 5%, 5%, 3, Yes,, 6.5, 735, 293, 302, 77, 63, 327, 297, 42.8%, 7.1%, 35.7%, 30, 66.7%, 3.3%, 26.7%, 63, 32, 28, 1, 735, 293, 10.2%, 70%, 77, 9.1%, 63.6%, Eli Herr, (503) 725-3461,,,,," $13,500", N/A, 1.9, 2.4, 73.1%, 162, 1.2:1, 30," $9,941,086"," $155,329", 1.6%, 735,,,,,,,,,,
166,Prairie View A&M University, Dr. Hugh N. Durham, N/A, N/A, $40, $50, (936) 261-1069, hndurham@pvamu.edu, Website, Website, N/A, 85.6%, 66.7%, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, Yes,, 6, 178, 82, 56, 28, 12, 49, 45, 55.6%, 40%, 28.9%, 4, 75%, 0%, 0%, 50, 15, 5, N/A, 178, 82, 43.9%, 53.7%, 28, 39.3%, 50%, Dr. Joy D. Thomas, (936) 261-1206,,,,," $10,611", N/A, 1.7, 2.3, 85%, N/A, 0.6:1, 4, N/A, N/A, 0%, 178,, N/A, N/A,,,,,,,
167,Rowan University, Eric Brennan, 07/01, 07/01, $65, N/A, (856) 256-4747, global@rowan.edu, Website, Website, N/A, 42.5%, 29.5%, 100%, 3.34, N/A, N/A, N/A, 100%, 3.62, N/A, N/A, N/A, Yes,, 6, 424, 169, 157, 72, 26, 138, 130, 29.2%, 6.9%, 24.6%, 8, 50%, 0%, 12.5%, 73, 12, 92, N/A, 424, 169, 6.5%, 66.9%, 72, 8.3%, 65.3%, Heidi Kovalick, (856) 256-4281,,,,, N/A, N/A, 2.0, 2.6, 41.6%, N/A, 1:1, 8," $8,950,993", N/A, 0%, 424,, N/A, N/A,,,,,,,
168,Saint Louis University (Parks)," Gary Bledsoe, Ph.D.", N/A, N/A, $55, $65, (314) 977-8306, parksgraduateprograms@slu.edu, Website, Website, N/A, 60.8%, 55.2%, 94%, 3.36, 6%, 6%, 3, 40%, 3.21, 20%, 20%, 5, Yes,, 6.5, 148, 103, 11, 30, 4, 55, 50, 34%, 12%, 20%, 5, 40%, 60%, 60%, 40, 5, 17, 0, 148, 103, 11.7%, 67%, 30, 10%, 50%, Cari Wickliffe, (314) 977-2350," $1,220 per credit"," $1,220 per credit"," $1,220 per credit"," $1,220 per credit"," $11,740", N/A, 1.8, 2.5, 60.4%, 158, 0.8:1, 5," $2,351,751"," $58,794", 0%, 148,,,,,,,,,,
169,South Dakota School of Mines and Technology, Rachel Howard, 02/15, 02/15, $35, $35, (605) 355-3468, graduate.admissions@sdsmt.edu, Website, Website, N/A, 66%, 52.5%, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, Yes,, 5.5, 272, 96, 93, 65, 18, 125, 107, 20.6%, 4.7%, 66.4%, 18, 0%, 11.1%, 61.1%, 93, 23, 1, N/A, 272, 96, 6.3%, 18.8%, 65, 7.7%, 63.1%, David Martin, (605) 394-2274,,,,," $8,760", N/A, 2.0, 3, 63.4%, N/A, 0.7:1, 18, N/A, N/A, 0%, 272,, N/A, N/A,,,,,,,
170,Southern Illinois University--Carbondale, STEPHEN C. SHIH, N/A, N/A, $65, $65, (618) 536-7791, gradschl@siu.edu, Website, Website, Website, 55.5%, 39.3%, 93%, 3.6, 78%, 78%, 3, 100%, 3.5, 83%, 83%, 2.8, Yes,, 6.5, 203, 98, 19, 55, 31, 84, 64, 81.3%, 4.7%, 21.9%, 20, 90%, 5%, 15%, 53, 3, 4, 0, 203, 98, 7.1%, 80.6%, 55, N/A, 89.1%, Dee Rotolo, (618) 453-4334,,,,," $14,272", N/A, 1.8, 2.5, 52.7%, 161, 1:1, 20," $1,241,707"," $22,995", 0%, 203,,,,,,,,,,
171,SUNY College of Environmental Science and Forestry, Scott Shannon, N/A, N/A, $60, $60, (315) 470-6599, esfgrad@esf.edu, Website, Website, N/A, 55.2%, 51.4%, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, Yes,, 6, 61, 16, 8, 31, 6, 12, 6, 33.3%, 0%, 33.3%, 6, 66.7%, 0%, 66.7%, 19, 2, 2, 0, 61, 16, 25%, 31.3%, 31, 9.7%, 67.7%, Mark Hill, (315) 470-6673,,,,," $10,180", N/A, 2.0, 2.5, 53.1%, N/A, 1.6:1, 6," $1,397,067"," $63,503", 0%, 61,, N/A, N/A,,,,,,,
172,Tennessee State University, Dr. Robbie Melton, 07/01, 07/01, $35, $35, (615) 963-7371, gradschool@tnstate.edu, Website, Website, N/A, 89.2%, 88.9%, 92%, 3.04, N/A, N/A, N/A, 100%, 3.47, N/A, N/A, N/A, No, N/A, N/A, 93, 43, 26, 11, 13, 28, 23, 34.8%, 56.5%, 17.4%, 5, 80%, 20%, 20%, 22, 1, 0, N/A, 93, 43, 34.9%, 41.9%, 11, 81.8%, 18.2%, Amy Wood, (615) 963-7548,,,,," $8,548", N/A, 1.7, 2.3, 89.1%, N/A, 0.5:1, 5, N/A, N/A, 0%, 93,, N/A, N/A,,,,,,,
173,Tennessee Technological University, Shelia Kendrick, 07/01, 07/01, $35, $40, (931) 372-3808, gradstudies@tntech.edu, Website, Website, N/A, 64.8%, 73.3%, 100%, 3.59, 10%, 10%, 3, 90%, 3.3, 18%, 18%, 3, Yes,, 6, 248, 97, 21, 99, 31, 53, 43, 18.6%, 16.3%, 11.6%, 10, 30%, 10%, 0%, 76, 17, 15, 0, 248, 97, 12.4%, 17.5%, 99, 4%, 74.7%, Mary McCaskey, (931) 372-3503,,,,," $5,760", N/A, 1.8, 2.4, 67.9%, 157, 1.3:1, 10," $4,956,390"," $62,739", 0%, 248,,,,,,,,,,
174,Texas A&M University--Kingsville (Dotterweich), Dr. Cheri Shipman, N/A, N/A, $35, $50, (361) 593-5372, graduateadmissions@tamuk.edu, Website, Website, N/A, 73.9%, 62.5%, 97%, 3.44, 20%, 20%, 2.6, 100%, 3.16, 67%, 67%, 3.3, Yes,, 6, 415, 264, 114, 17, 20, 214, 207, 92.3%, 7.2%, 24.6%, 7, 85.7%, 14.3%, 0%, 51, 6, 3, 0, 415, 264, 8.7%, 87.5%, 17, 11.8%, 88.2%, Raul Cavazos, (361) 593-2173,,,,," $9,425", N/A, 1.7, 2.3, 73.8%, 154, 0.3:1, 7," $3,313,852"," $54,325", 0%, 415, N/A,,,,,,,,,
175,The Catholic University of America, Mary Ellen Mahoney, 08/01, 08/01, $60, $60, (202) 319-5247, cua-graduatestudies@cua.edu, Website, Website, N/A, 78.4%, 69.8%, 100%, 3.2, 2%, 2%, 3.5, 100%, 3.4, 65%, 65%, 3.5, Yes,, 6.5, 205, 58, 50, 80, 17, 99, 88, 56.8%, 21.6%, 36.4%, 11, 81.8%, 0%, 27.3%, 26, 6, 33, 0, 205, 58, 13.8%, 67.2%, 80, 12.5%, 68.8%, Mindy Schaffer, (202) 319-5307," $51,260 per year"," $2,015 per credit"," $51,260 per year"," $2,015 per credit", N/A, N/A, 1.8, 2.4, 76.2%, 158, 3.1:1, 11," $2,893,491"," $111,288", 0%, 205, N/A,,,,,,,,,
176,University of Akron, Deborah Phillip, N/A, N/A, $45, $70, (330) 972-2135, gradsch@uakron.edu, Website, Website, N/A, 48.2%, 50.6%, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, Yes,, 6.5, 357, 50, 52, 223, 32, 985, 966, N/A, N/A, N/A, 19, N/A, N/A, N/A, 80, 20, 15, N/A, 357, 50, N/A, 56%, 223, 6.3%, 78.5%, Marnie Saunders, (330) 972-6590,,,,," $9,660", N/A, 1.9, 2.7, 49.3%, N/A, 2.8:1, 19," $11,898,453"," $154,525", 0%, 357, N/A, N/A, N/A,,,,,,,
177,University of Alabama--Birmingham, Jesse Keppley, 08/01, 08/01, $50, $60, (205) 934-8227, gradschool@uab.edu, Website, Website, Website, 75.7%, 47.2%, 84%, 3.25, 4%, 4%, 2.9, 29%, 3.64, 21%, 21%, 3.3, Yes,, 6.5, 652, 165, 371, 82, 34, 252, 240, 0%, 18.3%, 19.2%, 12, 0%, 33.3%, 16.7%, 37, 11, 2, 0, 652, 165, 6.7%, 77%, 82, 11%, 62.2%, Helen McIntyre, (205) 934-8223,,,,," $12,307", N/A, 2.2, 2.6, 72.3%, 157, 2.2:1, 12," $19,206,811"," $436,518", 0%, 652,,,,,,,,,,
178,University of Alaska--Fairbanks, Anna Gagne-Hawes, 06/01, 06/01, $75, $75, (800) 478-1823, uaf-admissions@alaska.edu, Website, Website, N/A, 51%, 37.5%, N/A, N/A, 7%, 7%, 3.5, N/A, N/A, N/A, N/A, 2, Yes,, 6.5, 66, 21, 30, 8, 7, 22, 19, 26.3%, 15.8%, 21.1%, 3, 0%, 33.3%, 33.3%, 33, 21, 5, 0, 66, 21, 14.3%, 28.6%, 8, N/A, 100%, Deanna Dieringer, (888) 474-7256,,,,," $9,902", N/A, 1.9, 2.4, 49.1%, 158, 0.2:1, 3," $16,949,500"," $403,560", 0%, 66,,, N/A,,,,,,,
179,University of Arkansas--Little Rock, Paula Baker-Rouse, 04/15, 04/15, $40, $40, (501) 916-6213, gradschool@ualr.edu, Website, Website, Website, 56.2%, 38.9%, 100%, 3.28, 44%, 44%, 2.9, 100%, 3.33, 37%, 37%, 3.6, Yes,, N/A, 275, 68, 35, 80, 92, 54, 30, 66.7%, 10%, 30%, 24, 62.5%, 16.7%, 33.3%, 23, 11, 20, 0, 275, 68, 10.3%, 67.6%, 80, 16.3%, 57.5%, Jonathan Coleman, (501) 916-3035,,,,," $9,040", N/A, 1.8, 2, 50.3%, 155, 3.5:1, 24," $5,376,389"," $162,921", 0%, 275, N/A,,,,,,,,,
180,University of Colorado--Colorado Springs, Chris Beiswanger, 05/01, 01/01, $60, $100, (719) 255-3088, gradinfo@uccs.edu, Website, Website, Website, 67%, 64.1%, 94%, 3.2, 13%, 13%, 2, 100%, 3.04, 30%, 30%, 3, Yes,, 6.5, 291, 13, 182, 10, 86, 74, 54, 22.2%, 20.4%, 22.2%, 20, 55%, 15%, 10%, 37, 14, 27, 0, 291, 13, 15.4%, 15.4%, 10, 30%, 40%, Jevita Rogers, (719) 255-3460,,,,," $11,236", N/A, 2.0, 2.6, 66.2%, 153, 0.3:1, 20," $2,453,989"," $70,114", 0%, 291, N/A,,,,,,,,,
181,University of Detroit Mercy, Lynn Vitale, N/A, N/A, $0, $0, (313) 993-1245, admissions@udmercy.edu, Website, Website, Website, 84%, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, Yes,, 6.5, 151, 47, 82, 20, 2, 99, 97, 59.8%, 5.2%, 20.6%, 2, 100%, 0%, 0%, 23, 5, 17, 0, 151, 47, 2.1%, 76.6%, 20, N/A, 95%, Jessica Rouser, (313) 993-3350, $840 per credit, $840 per credit, $840 per credit, $840 per credit," $9,902", N/A, 1.5, 2, 83.2%, N/A, 0.9:1, 2," $148,070"," $6,730", 0%, 151, N/A, N/A, N/A,,,,,,,
182,University of Hawaii--Manoa, Reid Takamatsu, N/A, N/A, $100, $100, (808) 956-8544, graduate.admissions@hawaii.edu, Website, Website, N/A, 73.6%, 80%, 100%, 3.38, 42%, 42%, 4, 100%, 3.68, 78%, 78%, 3.5, Yes,, 6, 196, 116, 15, 65, 0, 48, 41, 19.5%, 46.3%, 29.3%, 7, 57.1%, 0%, 0%, 51, 0, 6, 0, 196, 116, 71.6%, 10.3%, 65, 15.4%, 70.8%, Jodie Kuba, (808) 956-3993,,,, N/A," $13,642", N/A, 2.0, 2.7, 75.4%, 158, 1.3:1, 7," $7,227,300"," $122,497", 0%, 196, N/A,,,,,,,,,
183,University of Louisiana--Lafayette, Dr. Mary Farmer-Kaiser, N/A, N/A, $25, $30, (337) 482-6467, gradschool@louisiana.edu, Website, Website, Website, 53.2%, 53.5%, 100%, 3.25, 55%, 55%, N/A, 100%, 3.21, 71%, 71%, N/A, Yes,, 6.5, 267, 97, 23, 115, 32, 68, 52, 42.3%, 15.4%, 15.4%, 16, 31.3%, 31.3%, 18.8%, 53, 33, 6, N/A, 267, 97, 16.5%, 48.5%, 115, 27.8%, 48.7%, Cindy Perez, (337) 482-6506,,,,," $11,784", N/A, 1.9, 2.2, 53.3%, 156, 2.2:1, 16," $7,981,000"," $135,271", 0%, 267, N/A,,,,,,,,,
184,University of Massachusetts--Dartmouth, Scott Webster, 02/15, 02/01, $60, $60, (508) 999-8604, graduate@umassd.edu, Website, Website, N/A, 87.3%, 84.2%, 57%, 3.4, 16%, 16%, 3.2, 25%, 3.48, 50%, 50%, 3.8, Yes,, 6.5, 342, 134, 128, 40, 40, 101, 89, 59.6%, 9%, 30.3%, 12, 66.7%, 0%, 58.3%, 54, 9, 5, 0, 342, 134, 5.2%, 56%, 40, 5%, 65%, Sharon Gannon, (508) 999-8857,,,,," $15,885", N/A, 2.1, 2.8, 86.9%, 159, 0.7:1, 12," $2,943,355"," $52,560", 0%, 342,,,,,,,,,,
185,University of Memphis (Herff), Eric Stokes, 07/01, 07/01, $35, $60, (901) 678-3685, graduateadmissions@memphis.edu, Website, Website, N/A, 61.2%, 79.2%, 42%, 3.4, 25%, 25%, N/A, 10%, 3.5, 45%, 45%, N/A, Yes,, 6, 291, 49, 64, 105, 73, 70, 51, 47.1%, 9.8%, 21.6%, 19, 15.8%, 5.3%, 10.5%, 72, 15, 11, N/A, 291, 49, 14.3%, 61.2%, 105, 10.5%, 75.2%, Dr. Rob Kniss, (901) 678-4825,,,,," $9,975", N/A, 1.9, 2.1, 64.7%, 160, 1.5:1, 19," $12,901,797"," $192,564", 0%, 291,,,,,,,,,,
